date,origin,destination,distance_km,weight_tons,fuel_price,weather_score,traffic_score,holiday,month,day_of_week,hour,freight_demand
2024-01-01 00:00:00,Kolkata,Hyderabad,973,28.98,99.96,0.22,0.62,0,1,0,0,109.19
2024-01-01 01:00:00,Bangalore,Hyderabad,327,31.72,103.48,0.71,0.87,0,1,0,1,116.61
2024-01-01 02:00:00,Chennai,Mumbai,1054,29.61,94.32,0.26,0.37,0,1,0,2,115.94
2024-01-01 03:00:00,Kolkata,Bangalore,65,18.62,92.79,0.44,0.8,0,1,0,3,81.46
2024-01-01 04:00:00,Delhi,Pune,1598,7.21,99.52,0.11,0.61,0,1,0,4,73.86
2024-01-01 05:00:00,Ahmedabad,Pune,405,13.08,104.79,0.12,0.62,1,1,0,5,81.61
2024-01-01 06:00:00,Chennai,Bangalore,405,9.08,86.34,0.25,0.04,0,1,0,6,54.71
2024-01-01 07:00:00,Chennai,Chennai,879,15.1,93.81,0.08,0.9,0,1,0,7,83.18
2024-01-01 08:00:00,Kolkata,Mumbai,648,20.08,108.62,0.27,0.78,0,1,0,8,87.88
2024-01-01 09:00:00,Mumbai,Mumbai,1151,38.4,99.53,0.57,0.04,0,1,0,9,139.68
2024-01-01 10:00:00,Delhi,Mumbai,977,38.42,113.55,0.74,0.61,0,1,0,10,138.21
2024-01-01 11:00:00,Kolkata,Pune,1140,31.01,111.03,0.03,0.75,0,1,0,11,122.99
2024-01-01 12:00:00,Delhi,Hyderabad,908,39.23,95.32,0.6,0.8,0,1,0,12,150.83
2024-01-01 13:00:00,Delhi,Kolkata,1796,39.92,106.79,0.36,0.09,0,1,0,13,141.7
2024-01-01 14:00:00,Ahmedabad,Chennai,263,35.53,93.23,0.23,0.64,0,1,0,14,120.2
2024-01-01 15:00:00,Chennai,Vijayawada,1770,4.1,90.26,0.03,0.23,0,1,0,15,51.64
2024-01-01 16:00:00,Bangalore,Mumbai,498,17.62,111.43,0.33,0.45,0,1,0,16,71.51
2024-01-01 17:00:00,Ahmedabad,Pune,1014,21.83,95.51,0.79,0.53,0,1,0,17,100.01
2024-01-01 18:00:00,Ahmedabad,Pune,1506,5.84,91.1,0.53,0.03,1,1,0,18,71.61
2024-01-01 19:00:00,Delhi,Vijayawada,1618,32.54,113.95,0.78,0.3,0,1,0,19,133.07
2024-01-01 20:00:00,Pune,Hyderabad,1188,6.8,85.93,0.41,0.8,0,1,0,20,63.74
2024-01-01 21:00:00,Chennai,Vijayawada,836,15.95,96.01,0.84,0.84,0,1,0,21,89.78
2024-01-01 22:00:00,Mumbai,Bangalore,1493,3.69,86.15,0.15,0.33,0,1,0,22,59.87
2024-01-01 23:00:00,Ahmedabad,Bangalore,548,21.46,100.12,0.82,0.44,0,1,0,23,96.67
2024-01-02 00:00:00,Bangalore,Kolkata,759,24.28,97.04,0.48,0.83,0,1,1,0,99.31
2024-01-02 01:00:00,Pune,Vijayawada,429,29.67,106.62,0.75,0.2,0,1,1,1,105.22
2024-01-02 02:00:00,Pune,Kolkata,1216,14.24,113.62,0.24,0.73,0,1,1,2,81.14
2024-01-02 03:00:00,Mumbai,Mumbai,789,24.03,100.59,0.49,0.41,0,1,1,3,96.91
