date,origin_country,origin_port,destination_port,cargo_type,cargo_quantity_mt,vessel_type,vessel_capacity_mt,distance_nm,voyage_days,bunker_price_usd_ton,port_congestion,weather_risk,port_waiting_hours,vessel_availability,procurement_price_usd_mt,freight_rate_usd_mt,charter_cost_usd,freight_demand
2023-01-01,Australia,Hay Point,Paradip,Manganese Ore,96315,Supramax,50602,4113,16.4,536.8,0.508,0.522,47.0,3,212.53,32.04,3085932.6,55.32
2023-01-01,USA,Hampton Roads,Chennai,Soybean,10094,Handysize,36067,10063,39.3,729.02,0.523,0.416,49.3,22,467.8,45.3,457258.2,37.7
2023-01-01,Colombia,Puerto Bolivar,Chennai,Rock Phosphate,136648,Small Handy,27374,9538,37.3,502.23,0.408,0.701,57.0,22,168.44,42.42,5796608.16,67.71
2023-01-01,Indonesia,Taboneo,Kamarajar,Nickel Ore,233711,Panamax,68516,3325,11.7,598.05,0.557,0.703,38.7,31,60.69,30.5,7128185.5,114.49
2023-01-01,Mozambique,Beira,Paradip,Bauxite,19613,Post-Panamax,93765,4739,19.8,550.6,0.394,0.334,32.1,21,48.63,33.78,662527.14,39.73
2023-01-01,Mozambique,Maputo,Krishnapatnam,Gypsum,12443,Small Handy,15287,5273,21.5,489.43,0.575,0.181,36.6,35,33.07,34.35,427417.05,52.59
2023-01-01,Colombia,Puerto Bolivar,Kamarajar,Coking Coal,209677,VLOC,242262,9475,37.9,685.26,0.604,0.403,61.1,35,180.99,41.93,8791756.61,98.82
2023-01-01,Australia,Gladstone,Chennai,Gypsum,115141,Small Handy,25642,4439,18.6,724.25,0.505,0.325,33.4,40,31.95,34.75,4001149.75,81.06
2023-01-01,Colombia,Puerto Bolivar,Visakhapatnam,Gypsum,219899,Handysize,34108,9149,34.1,706.91,0.5,0.074,53.1,37,36.2,44.55,9796500.45,100.24
2023-01-01,Indonesia,Balikpapan,Dhamra,Limestone,88168,Handysize,22521,3055,11.2,728.99,0.524,0.098,50.1,39,30.99,31.36,2764948.48,84.76
2023-01-01,USA,New Orleans,Paradip,Soybean,274210,Newcastlemax,194544,9132,31.8,536.3,0.672,0.241,72.9,35,475.09,41.26,11313904.6,120.19
2023-01-01,Australia,Hay Point,Kakinada,Bauxite,241637,Handymax,53768,4604,18.8,570.65,0.341,0.05,36.1,26,62.71,30.4,7345764.8,106.06
2023-01-01,Russia,Nakhodka,Dhamra,Iron Ore,110008,Small Handy,19082,3492,13.5,567.05,0.442,0.54,38.3,11,120.81,30.85,3393746.8,56.64
2023-01-01,Russia,Nakhodka,Dhamra,Coking Coal,62367,Panamax,73906,3613,14.5,643.88,0.281,0.183,26.8,23,141.71,26.19,1633391.73,61.09
